id,artista,numero,musica,genero
1,14 Bis,01039,BOLA DE MEIA BOLA DE GUDE,Desconhecido
2,14 Bis,03755,LINDA JUVENTUDE,Desconhecido
3,14 Bis,06074,PLANETA SONHO,Desconhecido
4,14 Bis,06197,TODO AZUL DO MAR,Desconhecido
5,14 Bis,03078,ESPANHOLA,Desconhecido
6,1Kilo,30306,DEIXE-ME IR,Desconhecido
7,4 Taste,31078,SEMPRE QUE TE VEJO,Desconhecido
8,5 a Seco e Maria Gadú,15225,EM PAZ,Sertanejo (dupla presumida)
9,A Banda Mais Bonita da Cidade,02748,ORAÇÃO,Desconhecido
10,A Cor do Som,07175,MENINO DEUS,Desconhecido
11,A Cor do Som,07480,ZANZIBAR,Desconhecido
12,A Cor Do Som,06402,ABRI A PORTA,Desconhecido
13,A Turma do Balão Mágico,07505,A GALINHA MAGRICELA,Desconhecido
14,A Turma do Balão Mágico,03454,AMIGOS DO PEITO,Desconhecido
15,A Turma do Balão Mágico,03129,LINDO BALÃO AZUL,Desconhecido
16,A Turma do Balão Mágico,02928,SE ENAMORA,Desconhecido
17,A Turma do Balão Mágico,01066,SUPERFANTÁSTICO,Desconhecido
18,Absyntho,06355,SÓ A LUA,Desconhecido
19,Absyntho,06223,URSINHO BLAU BLAU,Desconhecido
20,Acácio O Ferinha da Bahia,33660,DO MEU JEITO,Desconhecido
21,Adair Cardoso,01710,QUE SE DANE O MUNDO,Desconhecido
22,Adalberto e Adriano,03726,SEPARAÇÃO,Sertanejo (dupla presumida)
23,Adilson Ramos,30216,RELÓGIO,Desconhecido
24,Adilson Ramos,06982,SONHAR CONTIGO,Desconhecido
25,Adoniran Barbosa,03729,TIRO AO ÁLVARO,Desconhecido
26,Adoniran Barbosa,03273,TREM DAS ONZE,Desconhecido
27,Adoniran Barbosa,03251,SAUDOSA MALOCA,Desconhecido
28,Adriana,09466,I LOVE YOU BABY,Desconhecido
29,Adriana Calcanhotto,06126,DEVOLVA-ME,MPB/Romântico
30,Adriana Calcanhotto,09450,ESQUADROS,MPB/Romântico
31,Adriana Calcanhotto,06822,FICO ASSIM SEM VOCÊ,MPB/Romântico
32,Adriana Calcanhotto,30337,INVERNO,MPB/Romântico
33,Adriana Calcanhotto,04160,MAIS FELIZ,MPB/Romântico
34,Adriana Calcanhotto,30173,MARESIA,MPB/Romântico
35,Adriana Calcanhotto,30174,MEDO DE AMAR,MPB/Romântico
36,Adriana Calcanhotto,04161,MENTIRAS,MPB/Romântico
37,Adriana Calcanhotto,04138,VAMBORA,MPB/Romântico
38,Adryana e a Rapaziada,06257,FIM DE NOITE,Sertanejo (dupla presumida)
39,Adryana e a Rapaziada,06035,TUDO PASSA,Sertanejo (dupla presumida)
40,Adryana Ribeiro,01490,SAUDADE VEM,Desconhecido
41,Adryana Ribeiro part. Luis Carlos,03390,SEMPRE SOU EU,Desconhecido
42,Adson e Alana,33695,OLHA MAS NÃO PEGA,Sertanejo (dupla presumida)
43,Adson e Alana,33712,SABE DE NADA INOCENTE,Sertanejo (dupla presumida)
44,Agepê,06454,DEIXA EU TE AMAR,Desconhecido
45,Agepê,03883,MOÇA CRIANÇA,Desconhecido
46,Agnaldo Rayol,03739,AMIGOS PARA SEMPRE,Desconhecido
47,Agnaldo Rayol e Charlotte Church,07306,TORMENTO D'AMORE,Sertanejo (dupla presumida)
48,Agnaldo Timóteo,07283,A CASA DO SOL NASCENTE,Desconhecido
49,Agnaldo Timóteo,04399,MEU GRITO,Desconhecido
50,Agnaldo Timóteo,06503,OS VERDES CAMPOS DA MINHA TERRA,Desconhecido
51,Agnaldo Timóteo,04370,QUEM É,Desconhecido
52,Agnaldo Timóteo,33361,SOMBRAS,Desconhecido
53,Agnaldo Timóteo,01688,MAMÃE ESTOU TÃO FELIZ,Desconhecido
54,Agnaldo Timóteo,33722,TRISTEZA DANADA,Desconhecido
55,Agnaldo Timóteo,30773,ALINE,Desconhecido
56,Agnaldo Timóteo,30774,ETIQUETAS,Desconhecido
57,Agnaldo Timóteo,30775,ONTÉM,Desconhecido
58,Agostinho dos Santos,09695,MANHÃ DE CARNAVAL,Desconhecido
59,Agridoce,02792,DANÇANDO,Desconhecido
60,Akundum,03563,EMACONHADA,Desconhecido
61,Alan & Aladin,30112,LIGUEI PRA DIZER QUE TE AMO,Sertanejo (dupla presumida)
62,Alan & Aladin,30176,MEU COMPANHEIRO (SOU EU),Sertanejo (dupla presumida)
63,Alceu Valença,03903,ANUNCIAÇÃO,Desconhecido
64,Alceu Valença,06452,COMO DOIS ANIMAIS,Desconhecido
65,Alceu Valença,33836,FLOR DE TANGERINA,Desconhecido
66,Alceu Valença,03880,LA BELLE DE JOUR,Desconhecido
67,Alceu Valença,06752,TÁXI LUNAR,Desconhecido
68,Alceu Valença,30236,TOMARA,Desconhecido
69,Alceu Valença,03277,TROPICANA,Desconhecido
70,Alcione,06521,A LOBA,Samba/Pagode
71,Alcione,33058,AMOR SURREAL,Samba/Pagode
72,Alcione,03060,DELÍRIO DE AMOR,Samba/Pagode
73,Alcione,01604,FAZ UMA LOUCURA POR MIM,Samba/Pagode
74,Alcione,01979,GAROTO MAROTO,Samba/Pagode
75,Alcione,06940,MEU ÉBANO,Samba/Pagode
76,Alcione,33575,MULHER IDEAL,Samba/Pagode
77,Alcione,07186,NA HORA DA RAIVA,Samba/Pagode
78,Alcione,03169,NÃO DEIXE O SAMBA MORRER,Samba/Pagode
79,Alcione,33256,NEM MORTA,Samba/Pagode
80,Alcione,01600,O QUE EU FAÇO AMANHÃ,Samba/Pagode
81,Alcione,01795,QUALQUER DIA DESSES,Samba/Pagode
82,Alcione,03263,SUFOCO,Samba/Pagode
83,Alcione,06759,VOCÊ ME VIRA A CABEÇA,Samba/Pagode
84,Alcione,07201,O SURDO,Samba/Pagode
85,Alcione,30819,A VOLTA DA GAFIEIRA,Samba/Pagode
86,Alcione,30820,PANDEIRO É MEU NOME,Samba/Pagode
87,Alcione,09316,O PIOR É QUE EU GOSTO,Samba/Pagode
88,Alcione,06246,ALÉM DA CAMA,Samba/Pagode
89,Alcione,04196,GOSTOSO VENENO,Samba/Pagode
90,Alcione,33816,OU ELA OU EU,Samba/Pagode
91,Alcione e Alexandre Pires,04079,ESTRANHA LOUCURA,Samba/Pagode
92,Aldair Playboy,30484,AMOR FALSO,Desconhecido
93,Alexandre Pires,09575,A DEUS EU PEÇO,Desconhecido
94,Alexandre Pires,06443,A MUSA DAS MINHAS CANÇÕES,Desconhecido
95,Alexandre Pires,33074,BARRAQUEIRA,Desconhecido
96,Alexandre Pires,06649,"BUM, BUM, BUM",Desconhecido
97,Alexandre Pires,01210,CIGANO,Desconhecido
98,Alexandre Pires,01073,DESSA VEZ EU ME RENDO,Desconhecido
99,Alexandre Pires,06251,É POR AMOR,Desconhecido
100,Alexandre Pires,33484,EVA MEU AMOR,Desconhecido
101,Alexandre Pires,33004,MALUCA PIRADA,Desconhecido
102,Alexandre Pires,06302,NECESSIDADE,Desconhecido
103,Alexandre Pires,30215,QUITEMONOS LA ROPA,Desconhecido
104,Alexandre Pires,07696,SE ELA ME AMASSE,Desconhecido
105,Alexandre Pires,02877,SISSI,Desconhecido
106,Alexandre Pires,01472,SÓ POR UM MOMENTO,Desconhecido
107,Alexandre Pires,06988,TIRA ELA DE MIM,Desconhecido
108,Alexandre Pires,06640,VEM ME AMAR (ÁMAME),Desconhecido
109,Alexandre Pires,06198,USTED SE ME LLEVÓ LA VIDA,Desconhecido
110,Alexandre Pires e Grupo Revelação,09655,DELÍRIOS DE AMOR,Samba/Pagode
111,Alexandre Pires e Seu Jorge,15408,EU SOU O SAMBA,Sertanejo (dupla presumida)
112,Aline Barros,09527,RECOMEÇAR,Gospel
113,Aline Barros,30943,AO ÚNICO,Gospel
114,Aline Barros,30944,SOUBE QUE ME AMAVA,Gospel
115,Aline Barros,02971,CASA DO PAI,Gospel
116,Aline Barros,05606,DEUS DO IMPOSSIVEL,Gospel
117,Aline Barros,33496,LUGAR SEGURO,Gospel
118,Aline Barros,33497,PRIMEIRA ESSÊNCIA,Gospel
119,Aline Barros,02469,RENDIDO ESTOU,Gospel
120,Aline Barros,01809,RESSUSCITA-ME,Gospel
121,Aline Barros,01878,SONDA-ME,Gospel
122,Aline Barros,33498,VITÓRIA NO DESERTO,Gospel
123,Aline Calixto,02867,FLOR MORENA,Desconhecido
124,Almir Guineto,01885,CONSELHO,Desconhecido
125,Almir Rogério,03877,FUSCÃO PRETO,Desconhecido
126,Almir Sater,01486,BEIJINHO DOCE,Desconhecido
127,Almir Sater,03460,CABECINHA NO OMBRO,Desconhecido
128,Almir Sater,04257,TOCANDO EM FRENTE,Desconhecido
129,Almir Sater,06238,TREM DO PANTANAL,Desconhecido
130,Almir Sater,04379,UM VIOLEIRO TOCA,Desconhecido
131,Alok ft. Mathieu Koss,30288,BIG JET PLANE,Desconhecido
132,Alok part. Matheus e Kauan,30418,SUAVE,Sertanejo
133,"Alok, Bruno Martini ft. Zeeba",30160,HEAR ME NOW,Desconhecido
134,"Alok, Bruno Martini ft. Zeeba",30375,NEVER LET ME GO,Desconhecido
135,Altay Veloso,33843,ENTRA E SAI DE AMOR,Desconhecido
136,Altemar Dutra,04067,BRIGAS,Desconhecido
137,Altemar Dutra,06608,CONTIGO APRENDI,Desconhecido
138,Altemar Dutra,07181,MODINHA,Desconhecido
139,Altemar Dutra,04130,QUE QUERES TU DE MIM,Desconhecido
140,Altemar Dutra,03540,SENTIMENTAL DEMAIS,Desconhecido
141,Altemar Dutra,06277,SOMOS IGUAIS,Desconhecido
142,Altemar Dutra,09349,TUDO DE MIM,Desconhecido
143,Altemar Dutra,07045,A PRETENDIDA,Desconhecido
144,Altemar Dutra,33805,ROSARIO DE ESPERANÇA,Desconhecido
145,Altemar Dutra,30741,E VOLTAREI,Desconhecido
146,Altemar Dutra,30776,O FIM,Desconhecido
147,Altemar Dutra,30777,HINO AO AMOR,Desconhecido
148,Amado Batista,30612,AEROMOÇA,MPB/Romântico
149,Amado Batista,30256,ALUCINAÇÃO,MPB/Romântico
150,Amado Batista,01005,AMIGO,MPB/Romântico
151,Amado Batista,09632,CARTA SOBRE A MESA,MPB/Romântico
152,Amado Batista,30118,CASAMENTO FORÇADO,MPB/Romântico
153,Amado Batista,33858,CHANCE,MPB/Romântico
154,Amado Batista,30146,DEUSA NUA,MPB/Romântico
155,Amado Batista,33831,MENININHA MEU AMOR,MPB/Romântico
156,Amado Batista,30178,MEU DOCE AMOR,MPB/Romântico
157,Amado Batista,02811,MUITOS COMPROMISSOS,MPB/Romântico
158,Amado Batista,30194,O BOÊMIO,MPB/Romântico
159,Amado Batista,06625,O FRUTO DO NOSSO AMOR (AMOR PERFEITO),MPB/Romântico
160,Amado Batista,33820,O JULGAMENTO,MPB/Romântico
161,Amado Batista,30196,O NEGÓCIO DA CHINA,MPB/Romântico
162,Amado Batista,07656,O PRÍNCIPE,MPB/Romântico
163,Amado Batista,30200,OS PONTINHOS,MPB/Romântico
164,Amado Batista,03856,PRINCESA,MPB/Romântico
165,Amado Batista,06353,SECRETÁRIA (ASSÉDIO SEXUAL),MPB/Romântico
166,Amado Batista,30119,SERENATA,MPB/Romântico
167,Amado Batista,09880,SERESTEIRO DAS NOITES,MPB/Romântico
168,Amado Batista,30120,VIDA COR DE ROSA,MPB/Romântico
169,Amado Batista,04060,24 HORAS NO AR,MPB/Romântico
170,Amado Batista,33636,"AMAR, AMAR",MPB/Romântico
171,Amado Batista,33657,DESLIGUE A LUZ E O TELEFONE,MPB/Romântico
172,Amado Batista,33664,ESTRADA VELHA,MPB/Romântico
173,Amado Batista,09677,EU QUERO É NAMORAR,MPB/Romântico
174,Amado Batista,07129,EU SOU SEU FÃ,MPB/Romântico
175,Amado Batista,33451,FOLHA SECA,MPB/Romântico
176,Amado Batista,33675,LISTA DE COMPRAS,MPB/Romântico
177,Amado Batista,06941,MEU EX AMOR,MPB/Romântico
178,Amado Batista,33687,NÃO FAÇA JAMAIS COMO EU FIZ,MPB/Romântico
179,Amado Batista,33688,NÃO FAZ SENTIDO,MPB/Romântico
180,Amado Batista,01921,NÃO QUERO FALAR COM ELA,MPB/Romântico
181,Amado Batista,33694,OBRIGADO A DESISTIR,MPB/Romântico
182,Amado Batista,33724,TUM TUM TUM DA SAUDADE,MPB/Romântico
183,Amado Batista,33726,UM CARA FELIZ,MPB/Romântico
184,Amado Batista ft. Elias Wagner,30072,SOU IGUALZINHO À VOCÊ,MPB/Romântico
185,Amelinha,03876,FOI DEUS QUEM FEZ VOCÊ,Desconhecido
186,Amilcka e Chocolate,33470,SOM DE PRETO,Sertanejo (dupla presumida)
187,Ana Cañas,01552,ESCONDERIJO,Desconhecido
188,Ana Cañas,30945,TE VER FELIZ,Desconhecido
189,Ana Carolina,07891,A CANÇÃO TOCOU NA HORA ERRADA,MPB/Romântico
190,Ana Carolina,33603,BEATRIZ,MPB/Romântico
191,Ana Carolina,07921,CARVÃO,MPB/Romântico
192,Ana Carolina,33427,COISAS,MPB/Romântico
193,Ana Carolina,15288,COMBUSTÍVEL,MPB/Romântico
194,Ana Carolina,07932,CONFESSO,MPB/Romântico
195,Ana Carolina,01654,DOIS BICUDOS,MPB/Romântico
196,Ana Carolina,09443,É MAGOA,MPB/Romântico
197,Ana Carolina,07348,ELEVADOR (LIVRO DE ESQUECIMENTO),MPB/Romântico
198,Ana Carolina,06694,ENCOSTAR NA TUA,MPB/Romântico
199,Ana Carolina,04316,GARGANTA,MPB/Romântico
200,Ana Carolina,09488,NADA PRA MIM,MPB/Romântico
201,Ana Carolina,06827,NUA,MPB/Romântico
202,Ana Carolina,06870,PRA RUA ME LEVAR,MPB/Romântico
203,Ana Carolina,09521,QUE SE DANEM OS NÓS,MPB/Romântico
204,Ana Carolina,06109,QUEM DE NÓS DOIS,MPB/Romântico
205,Ana Carolina,07694,ROSAS,MPB/Romântico
206,Ana Carolina,09334,RUAS DE OUTONO,MPB/Romântico
207,Ana Carolina,06757,UMA LOUCA TEMPESTADE,MPB/Romântico
208,Ana Carolina,33453,VESTIDO ESTAMPADO,MPB/Romântico
209,Ana Carolina,09393,AQUI,MPB/Romântico
210,Ana Carolina,01179,VAI,MPB/Romântico
